Data_Hora_Recepcao;idBIoT;timestamp;inside;outside;erro
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:192;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:237;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:278;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:319;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:361;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:403;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:445;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:487;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:528;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:570;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:611;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:653;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:695;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:737;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:779;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:821;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:864;4;196;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:906;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:947;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:42:989;4;197;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:43:030;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:43:072;4;195;0
2026-03-27 10:40:20;88:13:BF:01:2E:14;27-03-2026 : 12:53:43:113;4;195;0
