id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
231903791,4.0,196.0,2025-07-22 13:21:24.020,1753190484.0,1753190504.0
231903792,4.0,196.0,2025-07-22 13:21:24.068,1753190484.0,1753190504.0
231903793,4.0,196.0,2025-07-22 13:21:24.114,1753190484.0,1753190504.0
231903794,4.0,197.0,2025-07-22 13:21:24.161,1753190484.0,1753190504.0
231903795,4.0,197.0,2025-07-22 13:21:24.207,1753190484.0,1753190504.0
231903796,4.0,196.0,2025-07-22 13:21:24.253,1753190484.0,1753190504.0
231903797,4.0,196.0,2025-07-22 13:21:24.299,1753190484.0,1753190504.0
231903798,4.0,197.0,2025-07-22 13:21:24.345,1753190484.0,1753190504.0
231903799,4.0,196.0,2025-07-22 13:21:24.391,1753190484.0,1753190504.0
231903800,4.0,196.0,2025-07-22 13:21:24.437,1753190484.0,1753190504.0
231903801,4.0,196.0,2025-07-22 13:21:24.483,1753190484.0,1753190504.0
231903802,4.0,196.0,2025-07-22 13:21:24.529,1753190484.0,1753190504.0
231903803,4.0,196.0,2025-07-22 13:21:24.575,1753190484.0,1753190504.0
231903804,4.0,196.0,2025-07-22 13:21:24.621,1753190484.0,1753190504.0
231903805,4.0,197.0,2025-07-22 13:21:24.667,1753190484.0,1753190504.0
231903806,4.0,196.0,2025-07-22 13:21:24.713,1753190484.0,1753190504.0
231903807,4.0,197.0,2025-07-22 13:21:24.759,1753190484.0,1753190504.0
231903808,4.0,196.0,2025-07-22 13:21:24.805,1753190484.0,1753190504.0
231903809,4.0,196.0,2025-07-22 13:21:24.851,1753190484.0,1753190504.0
231903810,4.0,196.0,2025-07-22 13:21:24.897,1753190484.0,1753190504.0
231903811,4.0,196.0,2025-07-22 13:21:24.943,1753190484.0,1753190504.0
231903812,4.0,196.0,2025-07-22 13:21:24.990,1753190484.0,1753190504.0
231903813,4.0,196.0,2025-07-22 13:21:25.036,1753190484.0,1753190504.0
231903814,4.0,196.0,2025-07-22 13:21:25.082,1753190484.0,1753190504.0
231903815,4.0,197.0,2025-07-22 13:21:25.128,1753190484.0,1753190504.0
231903816,4.0,196.0,2025-07-22 13:21:25.174,1753190484.0,1753190504.0
231903817,4.0,196.0,2025-07-22 13:21:25.220,1753190484.0,1753190504.0
231903818,4.0,197.0,2025-07-22 13:21:25.266,1753190484.0,1753190504.0
231903819,4.0,196.0,2025-07-22 13:21:25.312,1753190484.0,1753190504.0
231903820,4.0,196.0,2025-07-22 13:21:25.358,1753190484.0,1753190504.0
231903821,4.0,197.0,2025-07-22 13:21:25.405,1753190484.0,1753190504.0
231903822,4.0,197.0,2025-07-22 13:21:25.451,1753190484.0,1753190504.0
231903823,4.0,196.0,2025-07-22 13:21:25.499,1753190484.0,1753190504.0
231903824,4.0,197.0,2025-07-22 13:21:25.545,1753190484.0,1753190504.0
231903825,4.0,196.0,2025-07-22 13:21:25.591,1753190484.0,1753190504.0
231903826,4.0,196.0,2025-07-22 13:21:25.637,1753190484.0,1753190504.0
231903827,4.0,196.0,2025-07-22 13:21:25.683,1753190484.0,1753190504.0
231903828,4.0,196.0,2025-07-22 13:21:25.729,1753190484.0,1753190504.0
231903829,4.0,197.0,2025-07-22 13:21:25.775,1753190484.0,1753190504.0
231903830,4.0,196.0,2025-07-22 13:21:25.821,1753190484.0,1753190504.0
231903831,4.0,196.0,2025-07-22 13:21:25.867,1753190484.0,1753190504.0
231903832,4.0,197.0,2025-07-22 13:21:25.913,1753190484.0,1753190504.0
231903833,4.0,196.0,2025-07-22 13:21:25.959,1753190484.0,1753190504.0
231903834,4.0,196.0,2025-07-22 13:21:26.005,1753190484.0,1753190504.0
231903835,4.0,197.0,2025-07-22 13:21:26.051,1753190484.0,1753190504.0
231903836,4.0,196.0,2025-07-22 13:21:26.097,1753190484.0,1753190504.0
231903837,4.0,102.0,2025-07-22 13:21:26.137,1753190484.0,1753190504.0
231903838,4.0,196.0,2025-07-22 13:21:26.183,1753190484.0,1753190504.0
231903839,4.0,196.0,2025-07-22 13:21:26.229,1753190484.0,1753190504.0
231903840,4.0,197.0,2025-07-22 13:21:26.275,1753190484.0,1753190504.0
231903841,4.0,196.0,2025-07-22 13:21:26.321,1753190484.0,1753190504.0
231903842,4.0,196.0,2025-07-22 13:21:26.367,1753190484.0,1753190504.0
231903843,4.0,196.0,2025-07-22 13:21:26.413,1753190484.0,1753190504.0
231903844,4.0,196.0,2025-07-22 13:21:26.459,1753190484.0,1753190504.0
231903845,4.0,196.0,2025-07-22 13:21:26.505,1753190484.0,1753190504.0
231903846,4.0,197.0,2025-07-22 13:21:26.551,1753190484.0,1753190504.0
231903847,4.0,196.0,2025-07-22 13:21:26.597,1753190484.0,1753190504.0
231903848,4.0,196.0,2025-07-22 13:21:26.643,1753190484.0,1753190504.0
231903849,4.0,196.0,2025-07-22 13:21:26.689,1753190484.0,1753190504.0
231903850,4.0,196.0,2025-07-22 13:21:26.736,1753190484.0,1753190504.0
231903851,4.0,103.0,2025-07-22 13:21:26.777,1753190484.0,1753190504.0
231903852,4.0,198.0,2025-07-22 13:21:26.823,1753190484.0,1753190504.0
231903853,4.0,196.0,2025-07-22 13:21:26.869,1753190484.0,1753190504.0
231903854,4.0,196.0,2025-07-22 13:21:26.915,1753190484.0,1753190504.0
231903855,4.0,196.0,2025-07-22 13:21:26.961,1753190484.0,1753190504.0
231903856,4.0,196.0,2025-07-22 13:21:27.007,1753190484.0,1753190504.0
231903857,4.0,196.0,2025-07-22 13:21:27.053,1753190484.0,1753190504.0
231903858,4.0,196.0,2025-07-22 13:21:27.099,1753190484.0,1753190504.0
231903859,4.0,196.0,2025-07-22 13:21:27.145,1753190484.0,1753190504.0
231903860,4.0,196.0,2025-07-22 13:21:27.191,1753190484.0,1753190504.0
231903861,4.0,196.0,2025-07-22 13:21:27.237,1753190484.0,1753190504.0
231903862,4.0,197.0,2025-07-22 13:21:27.283,1753190484.0,1753190504.0
231903863,4.0,196.0,2025-07-22 13:21:27.329,1753190484.0,1753190504.0
231903864,4.0,196.0,2025-07-22 13:21:27.375,1753190484.0,1753190504.0
231903865,4.0,196.0,2025-07-22 13:21:27.421,1753190484.0,1753190504.0
231903866,4.0,196.0,2025-07-22 13:21:27.467,1753190484.0,1753190504.0
231903867,4.0,196.0,2025-07-22 13:21:27.513,1753190484.0,1753190504.0
