id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
231901307,4.0,196.0,2025-07-22 13:19:20.014,1753190360.0,1753190374.0
231901308,4.0,196.0,2025-07-22 13:19:20.060,1753190360.0,1753190374.0
231901309,4.0,197.0,2025-07-22 13:19:20.106,1753190360.0,1753190374.0
231901310,4.0,196.0,2025-07-22 13:19:20.155,1753190360.0,1753190374.0
231901311,4.0,196.0,2025-07-22 13:19:20.201,1753190360.0,1753190374.0
231901312,4.0,196.0,2025-07-22 13:19:20.247,1753190360.0,1753190374.0
231901313,4.0,196.0,2025-07-22 13:19:20.293,1753190360.0,1753190374.0
231901314,4.0,197.0,2025-07-22 13:19:20.339,1753190360.0,1753190374.0
231901315,4.0,196.0,2025-07-22 13:19:20.385,1753190360.0,1753190374.0
231901316,4.0,196.0,2025-07-22 13:19:20.431,1753190360.0,1753190374.0
231901317,4.0,197.0,2025-07-22 13:19:20.477,1753190360.0,1753190374.0
231901318,4.0,197.0,2025-07-22 13:19:20.522,1753190360.0,1753190374.0
231901481,196.0,196.0,2025-07-22 13:19:28.139,1753190360.0,1753190374.0
231901482,196.0,197.0,2025-07-22 13:19:28.196,1753190360.0,1753190374.0
231901483,196.0,196.0,2025-07-22 13:19:28.255,1753190360.0,1753190374.0
231901484,198.0,196.0,2025-07-22 13:19:28.312,1753190360.0,1753190374.0
231901485,196.0,197.0,2025-07-22 13:19:28.369,1753190360.0,1753190374.0
231901486,196.0,197.0,2025-07-22 13:19:28.426,1753190360.0,1753190374.0
231901487,196.0,196.0,2025-07-22 13:19:28.484,1753190360.0,1753190374.0
231901488,198.0,198.0,2025-07-22 13:19:28.542,1753190360.0,1753190374.0
231901489,196.0,196.0,2025-07-22 13:19:28.599,1753190360.0,1753190374.0
231901490,196.0,197.0,2025-07-22 13:19:28.656,1753190360.0,1753190374.0
231901491,196.0,196.0,2025-07-22 13:19:28.713,1753190360.0,1753190374.0
231901492,196.0,197.0,2025-07-22 13:19:28.771,1753190360.0,1753190374.0
231901493,197.0,197.0,2025-07-22 13:19:28.828,1753190360.0,1753190374.0
231901494,197.0,197.0,2025-07-22 13:19:28.886,1753190360.0,1753190374.0
231901495,197.0,199.0,2025-07-22 13:19:28.943,1753190360.0,1753190374.0
231901496,197.0,199.0,2025-07-22 13:19:29.001,1753190360.0,1753190374.0
231901497,196.0,197.0,2025-07-22 13:19:29.058,1753190360.0,1753190374.0
231901498,196.0,196.0,2025-07-22 13:19:29.115,1753190360.0,1753190374.0
231901499,196.0,196.0,2025-07-22 13:19:29.172,1753190360.0,1753190374.0
231901500,196.0,196.0,2025-07-22 13:19:29.229,1753190360.0,1753190374.0
231901501,197.0,197.0,2025-07-22 13:19:29.286,1753190360.0,1753190374.0
231901502,196.0,197.0,2025-07-22 13:19:29.343,1753190360.0,1753190374.0
231901503,170.0,196.0,2025-07-22 13:19:29.399,1753190360.0,1753190374.0
231901504,197.0,196.0,2025-07-22 13:19:29.456,1753190360.0,1753190374.0
231901505,196.0,198.0,2025-07-22 13:19:29.513,1753190360.0,1753190374.0
231901506,197.0,198.0,2025-07-22 13:19:29.570,1753190360.0,1753190374.0
231901507,196.0,196.0,2025-07-22 13:19:29.627,1753190360.0,1753190374.0
231901508,198.0,196.0,2025-07-22 13:19:29.684,1753190360.0,1753190374.0
231901509,196.0,197.0,2025-07-22 13:19:29.741,1753190360.0,1753190374.0
231901510,196.0,198.0,2025-07-22 13:19:29.798,1753190360.0,1753190374.0
231901511,196.0,196.0,2025-07-22 13:19:29.855,1753190360.0,1753190374.0
231901512,197.0,197.0,2025-07-22 13:19:29.912,1753190360.0,1753190374.0
