id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
231900333,4.0,196.0,2025-07-22 13:18:30.019,1753190310.0,1753190321.0
231900334,4.0,196.0,2025-07-22 13:18:30.065,1753190310.0,1753190321.0
231900335,4.0,196.0,2025-07-22 13:18:30.111,1753190310.0,1753190321.0
231900336,4.0,197.0,2025-07-22 13:18:30.157,1753190310.0,1753190321.0
231900337,4.0,196.0,2025-07-22 13:18:30.203,1753190310.0,1753190321.0
231900338,4.0,197.0,2025-07-22 13:18:30.249,1753190310.0,1753190321.0
231900339,4.0,196.0,2025-07-22 13:18:30.295,1753190310.0,1753190321.0
231900340,4.0,196.0,2025-07-22 13:18:30.341,1753190310.0,1753190321.0
231900341,4.0,196.0,2025-07-22 13:18:30.388,1753190310.0,1753190321.0
231900342,4.0,197.0,2025-07-22 13:18:30.434,1753190310.0,1753190321.0
231900343,4.0,196.0,2025-07-22 13:18:30.480,1753190310.0,1753190321.0
231900344,4.0,196.0,2025-07-22 13:18:30.526,1753190310.0,1753190321.0
231900345,4.0,197.0,2025-07-22 13:18:30.572,1753190310.0,1753190321.0
231900346,4.0,196.0,2025-07-22 13:18:30.618,1753190310.0,1753190321.0
231900347,4.0,196.0,2025-07-22 13:18:30.664,1753190310.0,1753190321.0
231900348,4.0,196.0,2025-07-22 13:18:30.710,1753190310.0,1753190321.0
231900349,4.0,196.0,2025-07-22 13:18:30.756,1753190310.0,1753190321.0
231900350,4.0,196.0,2025-07-22 13:18:30.802,1753190310.0,1753190321.0
231900351,4.0,197.0,2025-07-22 13:18:30.848,1753190310.0,1753190321.0
231900352,4.0,197.0,2025-07-22 13:18:30.894,1753190310.0,1753190321.0
231900353,4.0,197.0,2025-07-22 13:18:30.940,1753190310.0,1753190321.0
231900354,4.0,196.0,2025-07-22 13:18:30.985,1753190310.0,1753190321.0
231900355,4.0,197.0,2025-07-22 13:18:31.031,1753190310.0,1753190321.0
231900356,4.0,196.0,2025-07-22 13:18:31.077,1753190310.0,1753190321.0
