id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
231904871,4.0,196.0,2025-07-22 13:22:17.041,1753190537.0,1753190555.0
231904872,4.0,101.0,2025-07-22 13:22:17.082,1753190537.0,1753190555.0
231904873,4.0,102.0,2025-07-22 13:22:17.122,1753190537.0,1753190555.0
231904874,4.0,103.0,2025-07-22 13:22:17.163,1753190537.0,1753190555.0
231904875,4.0,197.0,2025-07-22 13:22:17.210,1753190537.0,1753190555.0
231904876,4.0,101.0,2025-07-22 13:22:17.251,1753190537.0,1753190555.0
231904877,4.0,102.0,2025-07-22 13:22:17.291,1753190537.0,1753190555.0
231904878,4.0,101.0,2025-07-22 13:22:17.332,1753190537.0,1753190555.0
231904879,4.0,101.0,2025-07-22 13:22:17.372,1753190537.0,1753190555.0
231904880,4.0,101.0,2025-07-22 13:22:17.414,1753190537.0,1753190555.0
231904881,4.0,101.0,2025-07-22 13:22:17.454,1753190537.0,1753190555.0
231904882,4.0,101.0,2025-07-22 13:22:17.495,1753190537.0,1753190555.0
231905045,4.0,101.0,2025-07-22 13:22:24.357,1753190537.0,1753190555.0
231905046,4.0,101.0,2025-07-22 13:22:24.399,1753190537.0,1753190555.0
231905047,4.0,102.0,2025-07-22 13:22:24.439,1753190537.0,1753190555.0
231905048,4.0,197.0,2025-07-22 13:22:24.487,1753190537.0,1753190555.0
231905049,4.0,103.0,2025-07-22 13:22:24.527,1753190537.0,1753190555.0
231905050,4.0,103.0,2025-07-22 13:22:24.568,1753190537.0,1753190555.0
231905051,4.0,102.0,2025-07-22 13:22:24.609,1753190537.0,1753190555.0
231905052,4.0,100.0,2025-07-22 13:22:24.650,1753190537.0,1753190555.0
231905053,4.0,197.0,2025-07-22 13:22:24.698,1753190537.0,1753190555.0
231905054,4.0,100.0,2025-07-22 13:22:24.739,1753190537.0,1753190555.0
231905055,4.0,103.0,2025-07-22 13:22:24.779,1753190537.0,1753190555.0
231905056,4.0,196.0,2025-07-22 13:22:24.825,1753190537.0,1753190555.0
231905057,4.0,101.0,2025-07-22 13:22:24.866,1753190537.0,1753190555.0
231905058,4.0,103.0,2025-07-22 13:22:24.908,1753190537.0,1753190555.0
231905059,4.0,196.0,2025-07-22 13:22:24.954,1753190537.0,1753190555.0
231905060,4.0,101.0,2025-07-22 13:22:24.997,1753190537.0,1753190555.0
231905061,4.0,102.0,2025-07-22 13:22:25.037,1753190537.0,1753190555.0
231905062,4.0,106.0,2025-07-22 13:22:25.078,1753190537.0,1753190555.0
231905063,4.0,101.0,2025-07-22 13:22:25.118,1753190537.0,1753190555.0
231905064,4.0,102.0,2025-07-22 13:22:25.159,1753190537.0,1753190555.0
231905065,4.0,104.0,2025-07-22 13:22:25.202,1753190537.0,1753190555.0
231905066,4.0,100.0,2025-07-22 13:22:25.243,1753190537.0,1753190555.0
231905067,4.0,103.0,2025-07-22 13:22:25.285,1753190537.0,1753190555.0
231905068,4.0,100.0,2025-07-22 13:22:25.327,1753190537.0,1753190555.0
231905069,4.0,196.0,2025-07-22 13:22:25.373,1753190537.0,1753190555.0
231905070,4.0,101.0,2025-07-22 13:22:25.414,1753190537.0,1753190555.0
231905071,4.0,197.0,2025-07-22 13:22:25.460,1753190537.0,1753190555.0
231905072,4.0,101.0,2025-07-22 13:22:25.502,1753190537.0,1753190555.0
231905073,4.0,104.0,2025-07-22 13:22:25.543,1753190537.0,1753190555.0
231905074,4.0,101.0,2025-07-22 13:22:25.584,1753190537.0,1753190555.0
231905075,4.0,198.0,2025-07-22 13:22:25.631,1753190537.0,1753190555.0
231905076,4.0,101.0,2025-07-22 13:22:25.672,1753190537.0,1753190555.0
231905077,4.0,103.0,2025-07-22 13:22:25.715,1753190537.0,1753190555.0
231905078,4.0,100.0,2025-07-22 13:22:25.756,1753190537.0,1753190555.0
231905079,4.0,101.0,2025-07-22 13:22:25.796,1753190537.0,1753190555.0
231905080,4.0,102.0,2025-07-22 13:22:25.838,1753190537.0,1753190555.0
231905081,4.0,196.0,2025-07-22 13:22:25.882,1753190537.0,1753190555.0
231905082,4.0,197.0,2025-07-22 13:22:25.928,1753190537.0,1753190555.0
231905083,4.0,103.0,2025-07-22 13:22:25.968,1753190537.0,1753190555.0
231905084,4.0,196.0,2025-07-22 13:22:26.014,1753190537.0,1753190555.0
231905085,4.0,102.0,2025-07-22 13:22:26.054,1753190537.0,1753190555.0
231905086,4.0,103.0,2025-07-22 13:22:26.095,1753190537.0,1753190555.0
231905087,4.0,196.0,2025-07-22 13:22:26.142,1753190537.0,1753190555.0
231905088,4.0,101.0,2025-07-22 13:22:26.183,1753190537.0,1753190555.0
231905089,4.0,197.0,2025-07-22 13:22:26.230,1753190537.0,1753190555.0
231905090,4.0,196.0,2025-07-22 13:22:26.276,1753190537.0,1753190555.0
231905091,4.0,103.0,2025-07-22 13:22:26.316,1753190537.0,1753190555.0
231905092,4.0,101.0,2025-07-22 13:22:26.357,1753190537.0,1753190555.0
231905093,4.0,102.0,2025-07-22 13:22:26.398,1753190537.0,1753190555.0
231905094,4.0,100.0,2025-07-22 13:22:26.440,1753190537.0,1753190555.0
231905095,4.0,197.0,2025-07-22 13:22:26.486,1753190537.0,1753190555.0
231905096,4.0,101.0,2025-07-22 13:22:26.528,1753190537.0,1753190555.0
231905097,4.0,197.0,2025-07-22 13:22:26.574,1753190537.0,1753190555.0
231905098,4.0,100.0,2025-07-22 13:22:26.615,1753190537.0,1753190555.0
231905099,4.0,102.0,2025-07-22 13:22:26.656,1753190537.0,1753190555.0
231905100,4.0,103.0,2025-07-22 13:22:26.697,1753190537.0,1753190555.0
231905101,4.0,101.0,2025-07-22 13:22:26.740,1753190537.0,1753190555.0
231905102,4.0,100.0,2025-07-22 13:22:26.781,1753190537.0,1753190555.0
231905103,4.0,196.0,2025-07-22 13:22:26.825,1753190537.0,1753190555.0
231905104,4.0,101.0,2025-07-22 13:22:26.866,1753190537.0,1753190555.0
231905105,4.0,197.0,2025-07-22 13:22:26.912,1753190537.0,1753190555.0
231905106,4.0,101.0,2025-07-22 13:22:26.954,1753190537.0,1753190555.0
231905107,4.0,197.0,2025-07-22 13:22:27.000,1753190537.0,1753190555.0
231905108,4.0,100.0,2025-07-22 13:22:27.043,1753190537.0,1753190555.0
231905109,4.0,104.0,2025-07-22 13:22:27.084,1753190537.0,1753190555.0
231905110,4.0,104.0,2025-07-22 13:22:27.125,1753190537.0,1753190555.0
231905111,4.0,103.0,2025-07-22 13:22:27.166,1753190537.0,1753190555.0
231905112,4.0,101.0,2025-07-22 13:22:27.207,1753190537.0,1753190555.0
231905113,4.0,100.0,2025-07-22 13:22:27.250,1753190537.0,1753190555.0
231905114,4.0,101.0,2025-07-22 13:22:27.291,1753190537.0,1753190555.0
231905115,4.0,196.0,2025-07-22 13:22:27.337,1753190537.0,1753190555.0
231905116,4.0,104.0,2025-07-22 13:22:27.379,1753190537.0,1753190555.0
231905117,4.0,198.0,2025-07-22 13:22:27.425,1753190537.0,1753190555.0
231905118,4.0,101.0,2025-07-22 13:22:27.468,1753190537.0,1753190555.0
231905119,4.0,197.0,2025-07-22 13:22:27.514,1753190537.0,1753190555.0
231905120,4.0,196.0,2025-07-22 13:22:27.561,1753190537.0,1753190555.0
231905121,5.0,196.0,2025-07-22 13:22:27.607,1753190537.0,1753190555.0
231905122,5.0,196.0,2025-07-22 13:22:27.653,1753190537.0,1753190555.0
231905123,5.0,196.0,2025-07-22 13:22:27.699,1753190537.0,1753190555.0
231905124,5.0,196.0,2025-07-22 13:22:27.746,1753190537.0,1753190555.0
231905125,6.0,197.0,2025-07-22 13:22:27.793,1753190537.0,1753190555.0
231904883,4.0,196.0,2025-07-22 13:22:17.541,1753190537.0,1753190555.0
231904884,4.0,104.0,2025-07-22 13:22:17.582,1753190537.0,1753190555.0
231904885,4.0,104.0,2025-07-22 13:22:17.623,1753190537.0,1753190555.0
231904886,4.0,102.0,2025-07-22 13:22:17.662,1753190537.0,1753190555.0
231904887,4.0,102.0,2025-07-22 13:22:17.700,1753190537.0,1753190555.0
231904888,4.0,101.0,2025-07-22 13:22:17.741,1753190537.0,1753190555.0
231904889,4.0,105.0,2025-07-22 13:22:17.782,1753190537.0,1753190555.0
231904890,4.0,102.0,2025-07-22 13:22:17.825,1753190537.0,1753190555.0
231904891,4.0,196.0,2025-07-22 13:22:17.871,1753190537.0,1753190555.0
231904892,4.0,103.0,2025-07-22 13:22:17.912,1753190537.0,1753190555.0
231904893,4.0,196.0,2025-07-22 13:22:17.958,1753190537.0,1753190555.0
231904894,4.0,196.0,2025-07-22 13:22:18.003,1753190537.0,1753190555.0
231904895,4.0,197.0,2025-07-22 13:22:18.049,1753190537.0,1753190555.0
231904896,4.0,102.0,2025-07-22 13:22:18.090,1753190537.0,1753190555.0
231904897,4.0,100.0,2025-07-22 13:22:18.131,1753190537.0,1753190555.0
231904898,4.0,101.0,2025-07-22 13:22:18.172,1753190537.0,1753190555.0
231904899,4.0,101.0,2025-07-22 13:22:18.212,1753190537.0,1753190555.0
231904900,4.0,103.0,2025-07-22 13:22:18.253,1753190537.0,1753190555.0
231904901,4.0,101.0,2025-07-22 13:22:18.293,1753190537.0,1753190555.0
231904902,4.0,104.0,2025-07-22 13:22:18.336,1753190537.0,1753190555.0
231904903,4.0,101.0,2025-07-22 13:22:18.376,1753190537.0,1753190555.0
231904904,4.0,102.0,2025-07-22 13:22:18.417,1753190537.0,1753190555.0
231904905,4.0,100.0,2025-07-22 13:22:18.457,1753190537.0,1753190555.0
231904906,4.0,101.0,2025-07-22 13:22:18.498,1753190537.0,1753190555.0
231904907,4.0,102.0,2025-07-22 13:22:18.536,1753190537.0,1753190555.0
231904908,4.0,101.0,2025-07-22 13:22:18.575,1753190537.0,1753190555.0
231904909,4.0,196.0,2025-07-22 13:22:18.621,1753190537.0,1753190555.0
231904910,4.0,101.0,2025-07-22 13:22:18.662,1753190537.0,1753190555.0
231904911,4.0,105.0,2025-07-22 13:22:18.703,1753190537.0,1753190555.0
231904912,4.0,105.0,2025-07-22 13:22:18.745,1753190537.0,1753190555.0
231904913,4.0,101.0,2025-07-22 13:22:18.786,1753190537.0,1753190555.0
231904914,4.0,196.0,2025-07-22 13:22:18.832,1753190537.0,1753190555.0
231904915,4.0,101.0,2025-07-22 13:22:18.872,1753190537.0,1753190555.0
231904916,4.0,101.0,2025-07-22 13:22:18.913,1753190537.0,1753190555.0
231904917,4.0,197.0,2025-07-22 13:22:18.959,1753190537.0,1753190555.0
231904918,4.0,101.0,2025-07-22 13:22:19.000,1753190537.0,1753190555.0
231904919,4.0,103.0,2025-07-22 13:22:19.041,1753190537.0,1753190555.0
231904920,4.0,101.0,2025-07-22 13:22:19.082,1753190537.0,1753190555.0
231904921,4.0,103.0,2025-07-22 13:22:19.122,1753190537.0,1753190555.0
231904922,4.0,101.0,2025-07-22 13:22:19.163,1753190537.0,1753190555.0
231904923,4.0,196.0,2025-07-22 13:22:19.209,1753190537.0,1753190555.0
231904924,4.0,103.0,2025-07-22 13:22:19.250,1753190537.0,1753190555.0
231904925,4.0,104.0,2025-07-22 13:22:19.291,1753190537.0,1753190555.0
231904926,4.0,104.0,2025-07-22 13:22:19.332,1753190537.0,1753190555.0
231904927,4.0,101.0,2025-07-22 13:22:19.372,1753190537.0,1753190555.0
231904928,4.0,101.0,2025-07-22 13:22:19.413,1753190537.0,1753190555.0
231904929,4.0,196.0,2025-07-22 13:22:19.459,1753190537.0,1753190555.0
231904930,4.0,104.0,2025-07-22 13:22:19.500,1753190537.0,1753190555.0
231904931,4.0,197.0,2025-07-22 13:22:19.546,1753190537.0,1753190555.0
231904932,4.0,103.0,2025-07-22 13:22:19.587,1753190537.0,1753190555.0
231904933,4.0,101.0,2025-07-22 13:22:19.627,1753190537.0,1753190555.0
231904934,4.0,101.0,2025-07-22 13:22:19.669,1753190537.0,1753190555.0
231904935,4.0,104.0,2025-07-22 13:22:19.710,1753190537.0,1753190555.0
231904936,4.0,101.0,2025-07-22 13:22:19.751,1753190537.0,1753190555.0
231904937,4.0,101.0,2025-07-22 13:22:19.791,1753190537.0,1753190555.0
231904938,4.0,100.0,2025-07-22 13:22:19.832,1753190537.0,1753190555.0
231904939,4.0,196.0,2025-07-22 13:22:19.880,1753190537.0,1753190555.0
231904940,4.0,101.0,2025-07-22 13:22:19.921,1753190537.0,1753190555.0
231904941,4.0,197.0,2025-07-22 13:22:19.967,1753190537.0,1753190555.0
231904942,4.0,100.0,2025-07-22 13:22:20.008,1753190537.0,1753190555.0
231904943,4.0,101.0,2025-07-22 13:22:20.048,1753190537.0,1753190555.0
231904944,4.0,100.0,2025-07-22 13:22:20.089,1753190537.0,1753190555.0
231904945,4.0,102.0,2025-07-22 13:22:20.129,1753190537.0,1753190555.0
231904946,4.0,101.0,2025-07-22 13:22:20.170,1753190537.0,1753190555.0
231904947,4.0,105.0,2025-07-22 13:22:20.209,1753190537.0,1753190555.0
231904948,4.0,101.0,2025-07-22 13:22:20.248,1753190537.0,1753190555.0
231904949,4.0,196.0,2025-07-22 13:22:20.294,1753190537.0,1753190555.0
231904950,4.0,196.0,2025-07-22 13:22:20.340,1753190537.0,1753190555.0
231904951,4.0,100.0,2025-07-22 13:22:20.382,1753190537.0,1753190555.0
231904952,4.0,101.0,2025-07-22 13:22:20.423,1753190537.0,1753190555.0
231904953,4.0,104.0,2025-07-22 13:22:20.464,1753190537.0,1753190555.0
231904954,4.0,101.0,2025-07-22 13:22:20.505,1753190537.0,1753190555.0
231904955,4.0,197.0,2025-07-22 13:22:20.551,1753190537.0,1753190555.0
231904956,4.0,104.0,2025-07-22 13:22:20.592,1753190537.0,1753190555.0
231904957,4.0,102.0,2025-07-22 13:22:20.632,1753190537.0,1753190555.0
231904958,4.0,104.0,2025-07-22 13:22:20.673,1753190537.0,1753190555.0
231904959,4.0,196.0,2025-07-22 13:22:20.719,1753190537.0,1753190555.0
231904960,4.0,100.0,2025-07-22 13:22:20.760,1753190537.0,1753190555.0
231904961,4.0,197.0,2025-07-22 13:22:20.806,1753190537.0,1753190555.0
231904962,4.0,101.0,2025-07-22 13:22:20.847,1753190537.0,1753190555.0
231904963,4.0,101.0,2025-07-22 13:22:20.886,1753190537.0,1753190555.0
231905126,5.0,196.0,2025-07-22 13:22:27.839,1753190537.0,1753190555.0
231905127,6.0,196.0,2025-07-22 13:22:27.886,1753190537.0,1753190555.0
231905128,5.0,197.0,2025-07-22 13:22:27.932,1753190537.0,1753190555.0
231905129,2.0,197.0,2025-07-22 13:22:27.980,1753190537.0,1753190555.0
231905130,2.0,197.0,2025-07-22 13:22:28.026,1753190537.0,1753190555.0
231905131,5.0,197.0,2025-07-22 13:22:28.074,1753190537.0,1753190555.0
231905132,24.0,137.0,2025-07-22 13:22:28.118,1753190537.0,1753190555.0
231905133,24.0,105.0,2025-07-22 13:22:28.160,1753190537.0,1753190555.0
231905134,196.0,197.0,2025-07-22 13:22:28.217,1753190537.0,1753190555.0
231905135,26.0,196.0,2025-07-22 13:22:28.264,1753190537.0,1753190555.0
231905136,27.0,145.0,2025-07-22 13:22:28.310,1753190537.0,1753190555.0
231905137,197.0,197.0,2025-07-22 13:22:28.367,1753190537.0,1753190555.0
231905138,197.0,197.0,2025-07-22 13:22:28.425,1753190537.0,1753190555.0
231905139,197.0,196.0,2025-07-22 13:22:28.482,1753190537.0,1753190555.0
231905140,197.0,199.0,2025-07-22 13:22:28.538,1753190537.0,1753190555.0
231905141,199.0,197.0,2025-07-22 13:22:28.596,1753190537.0,1753190555.0
231905142,196.0,197.0,2025-07-22 13:22:28.653,1753190537.0,1753190555.0
