id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
230485277,4.0,101.0,2025-06-17 20:39:01.524,1750192734.0,1750192746.0
230485278,4.0,108.0,2025-06-17 20:39:01.565,1750192734.0,1750192746.0
230485279,2.0,111.0,2025-06-17 20:39:01.608,1750192734.0,1750192746.0
230485280,2.0,94.0,2025-06-17 20:39:01.648,1750192734.0,1750192746.0
230485281,24.0,29.0,2025-06-17 20:39:01.686,1750192734.0,1750192746.0
230485282,23.0,107.0,2025-06-17 20:39:01.728,1750192734.0,1750192746.0
230485283,119.0,111.0,2025-06-17 20:39:01.776,1750192734.0,1750192746.0
230485284,109.0,30.0,2025-06-17 20:39:01.819,1750192734.0,1750192746.0
230485285,26.0,110.0,2025-06-17 20:39:01.861,1750192734.0,1750192746.0
230485286,28.0,198.0,2025-06-17 20:39:01.909,1750192734.0,1750192746.0
230485287,112.0,32.0,2025-06-17 20:39:01.952,1750192734.0,1750192746.0
230485288,105.0,21.0,2025-06-17 20:39:01.994,1750192734.0,1750192746.0
230485289,199.0,20.0,2025-06-17 20:39:02.042,1750192734.0,1750192746.0
230485290,106.0,21.0,2025-06-17 20:39:02.084,1750192734.0,1750192746.0
230485291,198.0,20.0,2025-06-17 20:39:02.132,1750192734.0,1750192746.0
230485292,112.0,19.0,2025-06-17 20:39:02.174,1750192734.0,1750192746.0
230485293,119.0,19.0,2025-06-17 20:39:02.218,1750192734.0,1750192746.0
230485294,0.0,20.0,2025-06-17 20:39:02.275,1750192734.0,1750192746.0
230485295,21.0,22.0,2025-06-17 20:39:02.313,1750192734.0,1750192746.0
230485296,21.0,219.0,2025-06-17 20:39:02.362,1750192734.0,1750192746.0
230485297,20.0,219.0,2025-06-17 20:39:02.410,1750192734.0,1750192746.0
230485298,20.0,200.0,2025-06-17 20:39:02.458,1750192734.0,1750192746.0
230485299,225.0,200.0,2025-06-17 20:39:02.517,1750192734.0,1750192746.0
230485300,22.0,151.0,2025-06-17 20:39:02.563,1750192734.0,1750192746.0
230485301,198.0,198.0,2025-06-17 20:39:02.620,1750192734.0,1750192746.0
230485302,199.0,197.0,2025-06-17 20:39:02.677,1750192734.0,1750192746.0
230485303,197.0,198.0,2025-06-17 20:39:02.734,1750192734.0,1750192746.0
230485304,196.0,198.0,2025-06-17 20:39:02.791,1750192734.0,1750192746.0
230485305,197.0,198.0,2025-06-17 20:39:02.849,1750192734.0,1750192746.0
230485306,197.0,196.0,2025-06-17 20:39:02.906,1750192734.0,1750192746.0
230485307,197.0,198.0,2025-06-17 20:39:02.964,1750192734.0,1750192746.0
230485308,196.0,197.0,2025-06-17 20:39:03.020,1750192734.0,1750192746.0
230485309,197.0,196.0,2025-06-17 20:39:03.078,1750192734.0,1750192746.0
230485310,198.0,197.0,2025-06-17 20:39:03.135,1750192734.0,1750192746.0
230485311,196.0,197.0,2025-06-17 20:39:03.192,1750192734.0,1750192746.0
230485312,197.0,198.0,2025-06-17 20:39:03.249,1750192734.0,1750192746.0
230485313,196.0,197.0,2025-06-17 20:39:03.308,1750192734.0,1750192746.0
230485314,198.0,198.0,2025-06-17 20:39:03.366,1750192734.0,1750192746.0
230485315,196.0,197.0,2025-06-17 20:39:03.423,1750192734.0,1750192746.0
230485316,197.0,197.0,2025-06-17 20:39:03.481,1750192734.0,1750192746.0
230485317,196.0,198.0,2025-06-17 20:39:03.538,1750192734.0,1750192746.0
230485318,196.0,197.0,2025-06-17 20:39:03.596,1750192734.0,1750192746.0
230485319,196.0,197.0,2025-06-17 20:39:03.653,1750192734.0,1750192746.0
230485320,197.0,197.0,2025-06-17 20:39:03.710,1750192734.0,1750192746.0
230485321,196.0,196.0,2025-06-17 20:39:03.768,1750192734.0,1750192746.0
230485322,196.0,198.0,2025-06-17 20:39:03.825,1750192734.0,1750192746.0
230485323,196.0,197.0,2025-06-17 20:39:03.884,1750192734.0,1750192746.0
230485324,198.0,197.0,2025-06-17 20:39:03.941,1750192734.0,1750192746.0
230485325,197.0,196.0,2025-06-17 20:39:03.999,1750192734.0,1750192746.0
230485326,196.0,197.0,2025-06-17 20:39:04.057,1750192734.0,1750192746.0
230485327,196.0,197.0,2025-06-17 20:39:04.114,1750192734.0,1750192746.0
230485328,196.0,197.0,2025-06-17 20:39:04.172,1750192734.0,1750192746.0
230485329,111.0,198.0,2025-06-17 20:39:04.224,1750192734.0,1750192746.0
230485330,132.0,197.0,2025-06-17 20:39:04.278,1750192734.0,1750192746.0
230485331,197.0,196.0,2025-06-17 20:39:04.335,1750192734.0,1750192746.0
230485332,196.0,197.0,2025-06-17 20:39:04.393,1750192734.0,1750192746.0
230485333,198.0,197.0,2025-06-17 20:39:04.450,1750192734.0,1750192746.0
230485334,196.0,197.0,2025-06-17 20:39:04.508,1750192734.0,1750192746.0
230485335,197.0,196.0,2025-06-17 20:39:04.565,1750192734.0,1750192746.0
230485336,106.0,79.0,2025-06-17 20:39:04.611,1750192734.0,1750192746.0
230485337,105.0,197.0,2025-06-17 20:39:04.663,1750192734.0,1750192746.0
230485338,196.0,198.0,2025-06-17 20:39:04.721,1750192734.0,1750192746.0
230485339,102.0,197.0,2025-06-17 20:39:04.773,1750192734.0,1750192746.0
230485340,160.0,197.0,2025-06-17 20:39:04.828,1750192734.0,1750192746.0
230485341,27.0,196.0,2025-06-17 20:39:04.875,1750192734.0,1750192746.0
230485342,26.0,107.0,2025-06-17 20:39:04.917,1750192734.0,1750192746.0
230485343,197.0,196.0,2025-06-17 20:39:04.975,1750192734.0,1750192746.0
230485344,197.0,197.0,2025-06-17 20:39:05.033,1750192734.0,1750192746.0
230485345,24.0,198.0,2025-06-17 20:39:05.080,1750192734.0,1750192746.0
230485346,24.0,138.0,2025-06-17 20:39:05.124,1750192734.0,1750192746.0
230485347,23.0,100.0,2025-06-17 20:39:05.165,1750192734.0,1750192746.0
230485348,6.0,103.0,2025-06-17 20:39:05.206,1750192734.0,1750192746.0
230485349,2.0,197.0,2025-06-17 20:39:05.252,1750192734.0,1750192746.0
230485350,2.0,199.0,2025-06-17 20:39:05.299,1750192734.0,1750192746.0
230485351,2.0,199.0,2025-06-17 20:39:05.345,1750192734.0,1750192746.0
230485352,3.0,198.0,2025-06-17 20:39:05.393,1750192734.0,1750192746.0
230485353,5.0,197.0,2025-06-17 20:39:05.439,1750192734.0,1750192746.0
230485354,4.0,198.0,2025-06-17 20:39:05.484,1750192734.0,1750192746.0
230485355,5.0,196.0,2025-06-17 20:39:05.530,1750192734.0,1750192746.0
230485356,5.0,197.0,2025-06-17 20:39:05.576,1750192734.0,1750192746.0
230485357,5.0,197.0,2025-06-17 20:39:05.622,1750192734.0,1750192746.0
230485358,5.0,197.0,2025-06-17 20:39:05.668,1750192734.0,1750192746.0
230485359,4.0,196.0,2025-06-17 20:39:05.712,1750192734.0,1750192746.0
230485360,4.0,197.0,2025-06-17 20:39:05.756,1750192734.0,1750192746.0
