id,distance_cm_inside,distance_cm_outside,measured_at,epoch_start,epoch_end
230485925,197.0,198.0,2025-06-17 20:39:34.431,1750192773.0,1750192782.0
230485926,198.0,197.0,2025-06-17 20:39:34.489,1750192773.0,1750192782.0
230485927,197.0,197.0,2025-06-17 20:39:34.546,1750192773.0,1750192782.0
230485928,197.0,197.0,2025-06-17 20:39:34.604,1750192773.0,1750192782.0
230485929,198.0,197.0,2025-06-17 20:39:34.661,1750192773.0,1750192782.0
230485930,197.0,198.0,2025-06-17 20:39:34.719,1750192773.0,1750192782.0
230485931,197.0,197.0,2025-06-17 20:39:34.776,1750192773.0,1750192782.0
230485932,198.0,198.0,2025-06-17 20:39:34.834,1750192773.0,1750192782.0
230485933,197.0,198.0,2025-06-17 20:39:34.891,1750192773.0,1750192782.0
230485934,197.0,197.0,2025-06-17 20:39:34.949,1750192773.0,1750192782.0
230485935,196.0,197.0,2025-06-17 20:39:35.007,1750192773.0,1750192782.0
230485936,197.0,196.0,2025-06-17 20:39:35.064,1750192773.0,1750192782.0
230485937,197.0,198.0,2025-06-17 20:39:35.122,1750192773.0,1750192782.0
230485938,198.0,197.0,2025-06-17 20:39:35.180,1750192773.0,1750192782.0
230485939,197.0,197.0,2025-06-17 20:39:35.238,1750192773.0,1750192782.0
230485940,197.0,198.0,2025-06-17 20:39:35.296,1750192773.0,1750192782.0
230485941,197.0,198.0,2025-06-17 20:39:35.353,1750192773.0,1750192782.0
230485942,197.0,197.0,2025-06-17 20:39:35.409,1750192773.0,1750192782.0
230485943,198.0,197.0,2025-06-17 20:39:35.466,1750192773.0,1750192782.0
230485944,197.0,197.0,2025-06-17 20:39:35.526,1750192773.0,1750192782.0
230485945,196.0,198.0,2025-06-17 20:39:35.583,1750192773.0,1750192782.0
230485946,198.0,198.0,2025-06-17 20:39:35.641,1750192773.0,1750192782.0
230485947,197.0,197.0,2025-06-17 20:39:35.698,1750192773.0,1750192782.0
230485948,196.0,197.0,2025-06-17 20:39:35.754,1750192773.0,1750192782.0
230485949,198.0,197.0,2025-06-17 20:39:35.811,1750192773.0,1750192782.0
230485950,196.0,196.0,2025-06-17 20:39:35.868,1750192773.0,1750192782.0
230485951,197.0,197.0,2025-06-17 20:39:35.927,1750192773.0,1750192782.0
230485952,198.0,197.0,2025-06-17 20:39:35.984,1750192773.0,1750192782.0
230485953,197.0,197.0,2025-06-17 20:39:36.042,1750192773.0,1750192782.0
230485954,197.0,198.0,2025-06-17 20:39:36.099,1750192773.0,1750192782.0
230485955,197.0,197.0,2025-06-17 20:39:36.157,1750192773.0,1750192782.0
230485956,197.0,197.0,2025-06-17 20:39:36.214,1750192773.0,1750192782.0
230485957,196.0,197.0,2025-06-17 20:39:36.271,1750192773.0,1750192782.0
230485958,197.0,199.0,2025-06-17 20:39:36.330,1750192773.0,1750192782.0
230485959,197.0,197.0,2025-06-17 20:39:36.387,1750192773.0,1750192782.0
230485960,197.0,197.0,2025-06-17 20:39:36.446,1750192773.0,1750192782.0
230485961,196.0,197.0,2025-06-17 20:39:36.503,1750192773.0,1750192782.0
230485962,197.0,198.0,2025-06-17 20:39:36.562,1750192773.0,1750192782.0
230485963,196.0,198.0,2025-06-17 20:39:36.619,1750192773.0,1750192782.0
230485964,196.0,198.0,2025-06-17 20:39:36.676,1750192773.0,1750192782.0
230485965,197.0,197.0,2025-06-17 20:39:36.733,1750192773.0,1750192782.0
230485966,197.0,198.0,2025-06-17 20:39:36.790,1750192773.0,1750192782.0
230485967,198.0,197.0,2025-06-17 20:39:36.849,1750192773.0,1750192782.0
230485968,197.0,197.0,2025-06-17 20:39:36.906,1750192773.0,1750192782.0
230485969,198.0,197.0,2025-06-17 20:39:36.965,1750192773.0,1750192782.0
230485970,197.0,196.0,2025-06-17 20:39:37.024,1750192773.0,1750192782.0
230485971,197.0,198.0,2025-06-17 20:39:37.082,1750192773.0,1750192782.0
230485972,197.0,198.0,2025-06-17 20:39:37.139,1750192773.0,1750192782.0
230485973,197.0,198.0,2025-06-17 20:39:37.196,1750192773.0,1750192782.0
230485974,197.0,196.0,2025-06-17 20:39:37.254,1750192773.0,1750192782.0
230485975,196.0,196.0,2025-06-17 20:39:37.311,1750192773.0,1750192782.0
230485976,197.0,197.0,2025-06-17 20:39:37.369,1750192773.0,1750192782.0
230485977,196.0,196.0,2025-06-17 20:39:37.426,1750192773.0,1750192782.0
230485978,197.0,196.0,2025-06-17 20:39:37.483,1750192773.0,1750192782.0
230485979,197.0,197.0,2025-06-17 20:39:37.540,1750192773.0,1750192782.0
230485980,196.0,197.0,2025-06-17 20:39:37.597,1750192773.0,1750192782.0
230485981,198.0,198.0,2025-06-17 20:39:37.654,1750192773.0,1750192782.0
